ARG,ARG
AUS,ARG
AUT,ARG
BEL,ARG
CAN,ARG
CHL,ARG
CHN,ARG
COL,ARG
CZE,ARG
DNK,ARG
EST,ARG
FIN,ARG
FRA,ARG
DEU,ARG
GRC,ARG
HUN,ARG
ISL,ARG
IRL,ARG
ISR,ARG
ITA,ARG
JPN,ARG
LVA,ARG
LTU,ARG
MEX,ARG
NLD,ARG
NZL,ARG
NOR,ARG
POL,ARG
PRT,ARG
RUS,ARG
SGP,ARG
SVK,ARG
SVN,ARG
ZAF,ARG
KOR,ARG
ESP,ARG
SWE,ARG
CHE,ARG
TUR,ARG
GBR,ARG
USA,ARG
ARG,AUS
AUS,AUS
AUT,AUS
BEL,AUS
CAN,AUS
CHL,AUS
CHN,AUS
COL,AUS
CZE,AUS
DNK,AUS
EST,AUS
FIN,AUS
FRA,AUS
DEU,AUS
GRC,AUS
HUN,AUS
ISL,AUS
IRL,AUS
ISR,AUS
ITA,AUS
JPN,AUS
LVA,AUS
LTU,AUS
MEX,AUS
NLD,AUS
NZL,AUS
NOR,AUS
POL,AUS
PRT,AUS
RUS,AUS
SGP,AUS
SVK,AUS
SVN,AUS
ZAF,AUS
KOR,AUS
ESP,AUS
SWE,AUS
CHE,AUS
TUR,AUS
GBR,AUS
USA,AUS
ARG,AUT
AUS,AUT
AUT,AUT
BEL,AUT
CAN,AUT
CHL,AUT
CHN,AUT
COL,AUT
CZE,AUT
DNK,AUT
EST,AUT
FIN,AUT
FRA,AUT
DEU,AUT
GRC,AUT
HUN,AUT
ISL,AUT
IRL,AUT
ISR,AUT
ITA,AUT
JPN,AUT
LVA,AUT
LTU,AUT
MEX,AUT
NLD,AUT
NZL,AUT
NOR,AUT
POL,AUT
PRT,AUT
RUS,AUT
SGP,AUT
SVK,AUT
SVN,AUT
ZAF,AUT
KOR,AUT
ESP,AUT
SWE,AUT
CHE,AUT
TUR,AUT
GBR,AUT
USA,AUT
ARG,BEL
AUS,BEL
AUT,BEL
BEL,BEL
CAN,BEL
CHL,BEL
CHN,BEL
COL,BEL
CZE,BEL
DNK,BEL
EST,BEL
FIN,BEL
FRA,BEL
DEU,BEL
GRC,BEL
HUN,BEL
ISL,BEL
IRL,BEL
ISR,BEL
ITA,BEL
JPN,BEL
LVA,BEL
LTU,BEL
MEX,BEL
NLD,BEL
NZL,BEL
NOR,BEL
POL,BEL
PRT,BEL
RUS,BEL
SGP,BEL
SVK,BEL
SVN,BEL
ZAF,BEL
KOR,BEL
ESP,BEL
SWE,BEL
CHE,BEL
TUR,BEL
GBR,BEL
USA,BEL
ARG,CAN
AUS,CAN
AUT,CAN
BEL,CAN
CAN,CAN
CHL,CAN
CHN,CAN
COL,CAN
CZE,CAN
DNK,CAN
EST,CAN
FIN,CAN
FRA,CAN
DEU,CAN
GRC,CAN
HUN,CAN
ISL,CAN
IRL,CAN
ISR,CAN
ITA,CAN
JPN,CAN
LVA,CAN
LTU,CAN
MEX,CAN
NLD,CAN
NZL,CAN
NOR,CAN
POL,CAN
PRT,CAN
RUS,CAN
SGP,CAN
SVK,CAN
SVN,CAN
ZAF,CAN
KOR,CAN
ESP,CAN
SWE,CAN
CHE,CAN
TUR,CAN
GBR,CAN
USA,CAN
ARG,CHE
AUS,CHE
AUT,CHE
BEL,CHE
CAN,CHE
CHL,CHE
CHN,CHE
COL,CHE
CZE,CHE
DNK,CHE
EST,CHE
FIN,CHE
FRA,CHE
DEU,CHE
GRC,CHE
HUN,CHE
ISL,CHE
IRL,CHE
ISR,CHE
ITA,CHE
JPN,CHE
LVA,CHE
LTU,CHE
MEX,CHE
NLD,CHE
NZL,CHE
NOR,CHE
POL,CHE
PRT,CHE
RUS,CHE
SGP,CHE
SVK,CHE
SVN,CHE
ZAF,CHE
KOR,CHE
ESP,CHE
SWE,CHE
CHE,CHE
TUR,CHE
GBR,CHE
USA,CHE
ARG,CHL
AUS,CHL
AUT,CHL
BEL,CHL
CAN,CHL
CHL,CHL
CHN,CHL
COL,CHL
CZE,CHL
DNK,CHL
EST,CHL
FIN,CHL
FRA,CHL
DEU,CHL
GRC,CHL
HUN,CHL
ISL,CHL
IRL,CHL
ISR,CHL
ITA,CHL
JPN,CHL
LVA,CHL
LTU,CHL
MEX,CHL
NLD,CHL
NZL,CHL
NOR,CHL
POL,CHL
PRT,CHL
RUS,CHL
SGP,CHL
SVK,CHL
SVN,CHL
ZAF,CHL
KOR,CHL
ESP,CHL
SWE,CHL
CHE,CHL
TUR,CHL
GBR,CHL
USA,CHL
ARG,CHN
AUS,CHN
AUT,CHN
BEL,CHN
CAN,CHN
CHL,CHN
CHN,CHN
COL,CHN
CZE,CHN
DNK,CHN
EST,CHN
FIN,CHN
FRA,CHN
DEU,CHN
GRC,CHN
HUN,CHN
ISL,CHN
IRL,CHN
ISR,CHN
ITA,CHN
JPN,CHN
LVA,CHN
LTU,CHN
MEX,CHN
NLD,CHN
NZL,CHN
NOR,CHN
POL,CHN
PRT,CHN
RUS,CHN
SGP,CHN
SVK,CHN
SVN,CHN
ZAF,CHN
KOR,CHN
ESP,CHN
SWE,CHN
CHE,CHN
TUR,CHN
GBR,CHN
USA,CHN
ARG,COL
AUS,COL
AUT,COL
BEL,COL
CAN,COL
CHL,COL
CHN,COL
COL,COL
CZE,COL
DNK,COL
EST,COL
FIN,COL
FRA,COL
DEU,COL
GRC,COL
HUN,COL
ISL,COL
IRL,COL
ISR,COL
ITA,COL
JPN,COL
LVA,COL
LTU,COL
MEX,COL
NLD,COL
NZL,COL
NOR,COL
POL,COL
PRT,COL
RUS,COL
SGP,COL
SVK,COL
SVN,COL
ZAF,COL
KOR,COL
ESP,COL
SWE,COL
CHE,COL
TUR,COL
GBR,COL
USA,COL
ARG,CZE
AUS,CZE
AUT,CZE
BEL,CZE
CAN,CZE
CHL,CZE
CHN,CZE
COL,CZE
CZE,CZE
DNK,CZE
EST,CZE
FIN,CZE
FRA,CZE
DEU,CZE
GRC,CZE
HUN,CZE
ISL,CZE
IRL,CZE
ISR,CZE
ITA,CZE
JPN,CZE
LVA,CZE
LTU,CZE
MEX,CZE
NLD,CZE
NZL,CZE
NOR,CZE
POL,CZE
PRT,CZE
RUS,CZE
SGP,CZE
SVK,CZE
SVN,CZE
ZAF,CZE
KOR,CZE
ESP,CZE
SWE,CZE
CHE,CZE
TUR,CZE
GBR,CZE
USA,CZE
ARG,DEU
AUS,DEU
AUT,DEU
BEL,DEU
CAN,DEU
CHL,DEU
CHN,DEU
COL,DEU
CZE,DEU
DNK,DEU
EST,DEU
FIN,DEU
FRA,DEU
DEU,DEU
GRC,DEU
HUN,DEU
ISL,DEU
IRL,DEU
ISR,DEU
ITA,DEU
JPN,DEU
